id,parent_id/id,code,name,iva_affected,tax_category,internet_available,active
l10n_cl_partner_activity_209,l10n_cl_partner_activity_120,,FABRICACIÓN DE PRODUCTOS DE LA REFINACIÓN DEL PETRÓLEO               ,not,nd,1,1
l10n_cl_partner_activity_210,l10n_cl_partner_activity_209,192000,FABRICACIÓN DE PRODUCTOS DE LA REFINACIÓN DEL PETRÓLEO ,yes,1,1,1
l10n_cl_partner_activity_211,l10n_cl_partner_activity_120,,"FABRICACIÓN SUSTANCIAS QUÍMICAS BÁSICAS, ABONOS Y COMPUESTOS DE NITRÓGENO, PLÁSTICOS Y CAUCHO SINT. ",not,nd,1,1
l10n_cl_partner_activity_212,l10n_cl_partner_activity_211,201101,FABRICACIÓN DE CARBÓN VEGETAL (EXCEPTO ACTIVADO); FABRICACIÓN DE BRIQUETAS DE CARBÓN VEGETAL ,yes,1,1,1
l10n_cl_partner_activity_213,l10n_cl_partner_activity_211,201109,FABRICACIÓN DE OTRAS SUSTANCIAS QUÍMICAS BÁSICAS N.C.P. ,yes,1,1,1
l10n_cl_partner_activity_214,l10n_cl_partner_activity_211,201200,FABRICACIÓN DE ABONOS Y COMPUESTOS DE NITRÓGENO ,yes,1,1,1
l10n_cl_partner_activity_215,l10n_cl_partner_activity_211,201300,FABRICACIÓN DE PLÁSTICOS Y CAUCHO SINTÉTICO EN FORMAS PRIMARIAS ,yes,1,1,1
l10n_cl_partner_activity_216,l10n_cl_partner_activity_120,,FABRICACIÓN DE OTROS PRODUCTOS QUÍMICOS                  ,not,nd,1,1
l10n_cl_partner_activity_217,l10n_cl_partner_activity_216,202100,FABRICACIÓN DE PLAGUICIDAS Y OTROS PRODUCTOS QUÍMICOS DE USO AGROPECUARIO ,yes,1,1,1
l10n_cl_partner_activity_218,l10n_cl_partner_activity_216,202200,"FABRICACIÓN DE PINTURAS, BARNICES Y PRODUCTOS DE REVESTIMIENTO, TINTAS DE IMPRENTA Y MASILLAS ",yes,1,1,1
l10n_cl_partner_activity_219,l10n_cl_partner_activity_216,202300,"FABRICACIÓN DE JABONES Y DETERGENTES, PREPARADOS PARA LIMPIAR, PERFUMES Y PREPARADOS DE TOCADOR ",yes,1,1,1
l10n_cl_partner_activity_220,l10n_cl_partner_activity_216,202901,FABRICACIÓN DE EXPLOSIVOS Y PRODUCTOS PIROTÉCNICOS ,yes,1,1,1
l10n_cl_partner_activity_221,l10n_cl_partner_activity_216,202909,FABRICACIÓN DE OTROS PRODUCTOS QUÍMICOS N.C.P. ,yes,1,1,1
l10n_cl_partner_activity_222,l10n_cl_partner_activity_120,,FABRICACIÓN DE FIBRAS ARTIFICIALES                   ,not,nd,1,1
l10n_cl_partner_activity_223,l10n_cl_partner_activity_222,203000,FABRICACIÓN DE FIBRAS ARTIFICIALES ,yes,1,1,1
l10n_cl_partner_activity_224,l10n_cl_partner_activity_120,,"FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS, SUSTANCIAS QUÍMICAS MEDICINALES Y PRODUCTOS BOTÁNICOS ",not,nd,1,1
l10n_cl_partner_activity_225,l10n_cl_partner_activity_224,210000,"FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS, SUSTANCIAS QUÍMICAS MEDICINALES Y PRODUCTOS BOTÁNICOS ",yes,1,1,1
l10n_cl_partner_activity_226,l10n_cl_partner_activity_120,,FABRICACIÓN DE PRODUCTOS DE CAUCHO                  ,not,nd,1,1
l10n_cl_partner_activity_227,l10n_cl_partner_activity_226,221100,FABRICACIÓN DE CUBIERTAS Y CÁMARAS DE CAUCHO; RECAUCHUTADO Y RENOVACIÓN DE CUBIERTAS DE CAUCHO ,yes,1,1,1
l10n_cl_partner_activity_228,l10n_cl_partner_activity_226,221900,FABRICACIÓN DE OTROS PRODUCTOS DE CAUCHO ,yes,1,1,1
l10n_cl_partner_activity_229,l10n_cl_partner_activity_120,,FABRICACIÓN DE PRODUCTOS DE PLÁSTICO                  ,not,nd,1,1
l10n_cl_partner_activity_230,l10n_cl_partner_activity_229,222000,FABRICACIÓN DE PRODUCTOS DE PLÁSTICO ,yes,1,1,1
l10n_cl_partner_activity_231,l10n_cl_partner_activity_120,,FABRICACIÓN DE VIDRIO Y PRODUCTOS DE VIDRIO                ,not,nd,1,1
l10n_cl_partner_activity_232,l10n_cl_partner_activity_231,231001,FABRICACIÓN DE VIDRIO PLANO ,yes,1,1,1
l10n_cl_partner_activity_233,l10n_cl_partner_activity_231,231002,FABRICACIÓN DE VIDRIO HUECO ,yes,1,1,1
l10n_cl_partner_activity_234,l10n_cl_partner_activity_231,231003,FABRICACIÓN DE FIBRAS DE VIDRIO ,yes,1,1,1
l10n_cl_partner_activity_235,l10n_cl_partner_activity_231,231009,FABRICACIÓN DE PRODUCTOS DE VIDRIO N.C.P. ,yes,1,1,1
l10n_cl_partner_activity_236,l10n_cl_partner_activity_120,,FABRICACIÓN DE PRODUCTOS MINERALES NO METÁLICOS N.C.P.                ,not,nd,1,1
l10n_cl_partner_activity_237,l10n_cl_partner_activity_236,239100,FABRICACIÓN DE PRODUCTOS REFRACTARIOS ,yes,1,1,1
l10n_cl_partner_activity_238,l10n_cl_partner_activity_236,239200,FABRICACIÓN DE MATERIALES DE CONSTRUCCIÓN DE ARCILLA ,yes,1,1,1
l10n_cl_partner_activity_239,l10n_cl_partner_activity_236,239300,FABRICACIÓN DE OTROS PRODUCTOS DE PORCELANA Y DE CERÁMICA ,yes,1,1,1
l10n_cl_partner_activity_240,l10n_cl_partner_activity_236,239400,"FABRICACIÓN DE CEMENTO, CAL Y YESO ",yes,1,1,1
l10n_cl_partner_activity_241,l10n_cl_partner_activity_236,239500,"FABRICACIÓN DE ARTÍCULOS DE HORMIGÓN, CEMENTO Y YESO ",yes,1,1,1
l10n_cl_partner_activity_242,l10n_cl_partner_activity_236,239600,"CORTE, TALLA Y ACABADO DE LA PIEDRA ",yes,1,1,1
l10n_cl_partner_activity_243,l10n_cl_partner_activity_236,239900,FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS N.C.P. ,yes,1,1,1
l10n_cl_partner_activity_244,l10n_cl_partner_activity_120,,INDUSTRIAS BÁSICAS DE HIERRO Y ACERO                 ,not,nd,1,1
l10n_cl_partner_activity_245,l10n_cl_partner_activity_244,241000,INDUSTRIAS BÁSICAS DE HIERRO Y ACERO ,yes,1,1,1
l10n_cl_partner_activity_246,l10n_cl_partner_activity_120,,FABRICACIÓN DE PRODUCTOS PRIMARIOS DE METALES PRECIOSOS Y OTROS METALES NO FERROSOS           ,not,nd,1,1
l10n_cl_partner_activity_247,l10n_cl_partner_activity_246,242001,FABRICACIÓN DE PRODUCTOS PRIMARIOS DE COBRE ,yes,1,1,1
l10n_cl_partner_activity_248,l10n_cl_partner_activity_246,242002,FABRICACIÓN DE PRODUCTOS PRIMARIOS DE ALUMINIO ,yes,1,1,1
l10n_cl_partner_activity_249,l10n_cl_partner_activity_246,242009,FABRICACIÓN DE PRODUCTOS PRIMARIOS DE METALES PRECIOSOS Y DE OTROS METALES NO FERROSOS N.C.P. ,yes,1,1,1
l10n_cl_partner_activity_250,l10n_cl_partner_activity_120,,FUNDICIÓN DE METALES                    ,not,nd,1,1
l10n_cl_partner_activity_251,l10n_cl_partner_activity_250,243100,FUNDICIÓN DE HIERRO Y ACERO ,yes,1,1,1
l10n_cl_partner_activity_252,l10n_cl_partner_activity_250,243200,FUNDICIÓN DE METALES NO FERROSOS ,yes,1,1,1
l10n_cl_partner_activity_253,l10n_cl_partner_activity_120,,"FABRICACIÓN DE PRODUCTOS METÁLICOS PARA USO ESTRUCTURAL, TANQUES, DEPÓSITOS, RECIPIENTES DE METAL ",not,nd,1,1
l10n_cl_partner_activity_254,l10n_cl_partner_activity_253,251100,FABRICACIÓN DE PRODUCTOS METÁLICOS PARA USO ESTRUCTURAL ,yes,1,1,1
l10n_cl_partner_activity_255,l10n_cl_partner_activity_253,251201,FABRICACIÓN DE RECIPIENTES DE METAL PARA GASES COMPRIMIDOS O LICUADOS ,yes,1,1,1
l10n_cl_partner_activity_256,l10n_cl_partner_activity_253,251209,"FABRICACIÓN DE TANQUES, DEPÓSITOS Y RECIPIENTES DE METAL N.C.P. ",yes,1,1,1
l10n_cl_partner_activity_257,l10n_cl_partner_activity_253,251300,"FABRICACIÓN DE GENERADORES DE VAPOR, EXCEPTO CALDERAS DE AGUA CALIENTE PARA CALEFACCIÓN CENTRAL ",yes,1,1,1
l10n_cl_partner_activity_258,l10n_cl_partner_activity_120,,FABRICACIÓN DE ARMAS Y MUNICIONES                  ,not,nd,1,1
l10n_cl_partner_activity_259,l10n_cl_partner_activity_258,252000,FABRICACIÓN DE ARMAS Y MUNICIONES ,yes,1,1,1
l10n_cl_partner_activity_260,l10n_cl_partner_activity_120,,FABRICACIÓN DE OTROS PRODUCTOS ELABORADOS DE METAL; ACTIVIDADES DE SERVICIOS DE TRABAJO DE METALES ,not,nd,1,1
l10n_cl_partner_activity_261,l10n_cl_partner_activity_260,259100,"FORJA, PRENSADO, ESTAMPADO Y LAMINADO DE METALES; PULVIMETALURGIA ",yes,1,1,1
l10n_cl_partner_activity_262,l10n_cl_partner_activity_260,259200,TRATAMIENTO Y REVESTIMIENTO DE METALES; MAQUINADO ,yes,1,1,1
l10n_cl_partner_activity_263,l10n_cl_partner_activity_260,259300,"FABRICACIÓN DE ARTÍCULOS DE CUCHILLERÍA, HERRAMIENTAS DE MANO Y ARTÍCULOS DE FERRETERÍA ",yes,1,1,1
l10n_cl_partner_activity_264,l10n_cl_partner_activity_260,259900,FABRICACIÓN DE OTROS PRODUCTOS ELABORADOS DE METAL N.C.P. ,yes,1,1,1
l10n_cl_partner_activity_265,l10n_cl_partner_activity_120,,FABRICACIÓN DE COMPONENTES Y TABLEROS ELECTRÓNICOS                 ,not,nd,1,1
